Dự án/ khu,Đường/Phố,Xã/ Phường/ Thị trấn,Quận/Huyện,Diện tích(m2),Giá (tỷ đồng),Số phòng ngủ,Số toilet,dudoan_RF,Mã quận huyện,Mã xã phường,Mã đường phố,Mã dự án
Căn hộ Thông tấn xã,Nguyễn Xiển,Đại Kim,Hoàng Mai,84.2,2.99,2.0,2.0,2.928300000000003,7,159,151,90
Vinhomes Ocean Park Gia Lâm,Không có,Dương Xá,Gia Lâm,43.0,1.2,1.0,1.933083511777302,1.610769285714285,3,17,72,475
The Garden Hills - 99 Trần Bình,Trần Bình,Mỹ Đình 2,Nam Từ Liêm,66.8,2.65,2.0,2.0,2.6241605555555556,11,59,206,398
The Sakura - Vinhomes Smart City,Không có,Tây Mỗ,Nam Từ Liêm,60.0,2.28,2.0,2.0,2.361675000000001,11,126,72,414
Dolphin Plaza,Trần Bình,Mỹ Đình 2,Nam Từ Liêm,198.0,7.1,4.0,3.0,6.860080952380953,11,59,206,99
Vinhomes Gardenia,Hàm Nghi,Cầu Diễn,Nam Từ Liêm,76.0,3.8,2.0,2.0,3.577913636363637,11,12,54,471
Không có,Cửa Bắc,Trúc Bạch,Ba Đình,40.0,1.95,2.45452528837622,1.933083511777302,1.9752399999999977,0,121,27,221
Kim Văn Kim Lũ,Nghiêm Xuân Yêm,Đại Kim,Hoàng Mai,54.4,2.15,2.0,1.0,1.874600000000002,7,159,119,222
Rose Town,Ngọc Hồi,Hoàng Liệt,Hoàng Mai,71.0,1.8,2.0,2.0,1.9040237523440617,7,26,158,347
Vinhomes Nguyễn Chí Thanh,Nguyễn Chí Thanh,Láng Hạ,Đống Đa,118.0,8.05,3.0,2.0,7.781599999999995,19,43,125,474
Thăng Long Number One,Không có,Trung Hòa,Cầu Giấy,112.0,4.0,2.0,2.0,4.29222927849928,2,113,72,429
K35 Tân Mai,Tân Mai,Tương Mai,Hoàng Mai,85.0,4.05,3.0,2.0,3.698100000000004,7,127,226,208
Imperia Sky Garden,Minh Khai,Vĩnh Tuy,Hai Bà Trưng,86.2,3.88,3.0,2.0,3.9301785714285686,4,139,112,199
KĐT Linh Đàm,Không có,Đại Kim,Hoàng Mai,82.5,2.5,3.0,2.0,2.7860000000000014,7,159,72,227
Mỹ Đình I,Hàm Nghi,Mỹ Đình 1,Nam Từ Liêm,60.0,2.2,2.0,2.0,2.193849999999997,11,58,54,273
Eco City Việt Hưng,Không có,Giang Biên,Long Biên,70.0,2.0,2.45452528837622,1.933083511777302,2.0823100000000014,9,20,72,108
Green Diamond 93 Láng Hạ,Láng Hạ,Láng Hạ,Đống Đa,89.46,7.0,2.0,2.0,7.223733333333337,19,43,88,147
KĐT Xa La,Phùng Hưng,Kiến Hưng,Hà Đông,70.0,1.59,2.0,2.0,1.5814678571428595,8,41,169,235
Không có,Trần Hòa,Đại Kim,Hoàng Mai,70.0,2.25,2.0,2.0,2.2301116666666663,7,159,209,221
The Sakura - Vinhomes Smart City,Không có,Tây Mỗ,Nam Từ Liêm,66.6,2.7,2.0,1.933083511777302,2.8654999999999973,11,126,72,414
Ecolife Capitol,Tố Hữu,Trung Văn,Nam Từ Liêm,70.0,2.25,2.0,2.0,2.4097880952380937,11,117,235,115
Eco City Việt Hưng,Không có,Giang Biên,Long Biên,77.0,2.35,2.0,2.0,2.448525,9,20,72,108
Eurowindow River Park,5,Đông Hội,Đông Anh,72.9,2.62,2.0,2.0,2.5734100000000035,18,154,3,119
Bình Minh Garden,Đức Giang,Đức Giang,Long Biên,75.0,2.6,2.0,2.0,2.624570833333333,9,165,291,49
The Terra An Hưng,Không có,Không có,Hà Đông,68.0,2.8,2.45452528837622,1.933083511777302,2.5293000000000028,8,30,72,417
Discovery Complex,Cầu Giấy,Dịch Vọng,Cầu Giấy,148.6,7.1,3.0,2.0,7.269499999999999,2,18,26,98
Không có,Nguyễn Trãi,Nhân Chính,Thanh Xuân,33.0,0.76,1.0,1.933083511777302,0.7374499999999999,13,71,145,221
Sun Grand City,Thụy Khuê,Thụy Khuê,Tây Hồ,160.0,11.0,3.0,3.0,9.738466666666664,16,112,198,370
Thăng Long Number One,Khuất Duy Tiến,Trung Hòa,Cầu Giấy,117.0,4.45,3.0,2.0,4.432375313020308,2,113,70,429
Kosmo Tây Hồ,Xuân La,Xuân Tảo,Bắc Từ Liêm,79.0,5.0,2.45452528837622,1.933083511777302,4.636500000000001,1,143,259,225
Mỹ Đình Pearl,Không có,Phú Đô,Nam Từ Liêm,73.0,3.2,2.0,2.0,3.265390476190478,11,80,72,275
Vinhomes Green Bay Mễ Trì,Đại lộ Thăng Long,Mễ Trì,Nam Từ Liêm,28.0,1.15,2.45452528837622,1.933083511777302,1.332059761904762,11,56,283,472
Vinhomes Green Bay Mễ Trì,Đại lộ Thăng Long,Mễ Trì,Nam Từ Liêm,53.0,2.75,2.0,1.0,2.154799999999997,11,56,283,472
Helios Tower 75 Tam Trinh,Tam Trinh,Mai Động,Hoàng Mai,68.0,2.95,2.0,1.933083511777302,2.469099999999998,7,54,184,171
Trung Hòa Nhân Chính,Hoàng Đạo Thúy,Trung Hòa,Cầu Giấy,117.0,3.8,2.0,2.0,3.788128174603175,2,113,50,437
Vinhomes Gardenia,Hàm Nghi,Cầu Diễn,Nam Từ Liêm,76.0,3.6,2.0,2.0,3.577913636363637,11,12,54,471
Rivera Park Hà Nội,Vũ Trọng Phụng,Thanh Xuân Trung,Thanh Xuân,73.0,4.0,2.45452528837622,1.933083511777302,3.841416666666667,13,102,253,343
KĐT Linh Đàm,Linh Đường,Hoàng Liệt,Hoàng Mai,72.0,1.72,2.0,2.0,1.7595623809523797,7,26,84,227
Trung tâm thương mại Chợ Mơ,Không có,Không có,Hai Bà Trưng,98.0,3.4,2.0,2.0,4.302125000000004,4,30,72,441
Không có,Trung Kính,Yên Hòa,Cầu Giấy,35.0,0.6,1.0,1.0,0.6319000000000005,2,145,201,221
Không có,Kim Mã,Đội Cấn,Ba Đình,55.0,0.62,2.0,2.0,0.6729333333333326,0,164,78,221
Không có,Phạm Ngọc Thạch,Kim Liên,Đống Đa,58.0,0.635,2.0,2.0,0.71864,19,39,174,221
Tràng An Complex,Phùng Chí Kiên,Nghĩa Đô,Cầu Giấy,88.1,4.2,3.0,2.0,4.235199999999995,2,63,168,443
Không có,Nam Đồng,Nam Đồng,Đống Đa,56.0,0.65,2.0,2.0,0.6687999999999995,19,60,118,221
Vinhomes Ocean Park Gia Lâm,Không có,Dương Xá,Gia Lâm,30.0,1.1,1.0,1.0,1.0162057936507927,3,17,72,475
An Bình City,Phạm Văn Đồng,Cổ Nhuế 1,Bắc Từ Liêm,114.0,5.5,3.0,2.0,5.247800000000002,1,14,176,28
CT3 Tây Nam Linh Đàm,Linh Đường,Hoàng Liệt,Hoàng Mai,58.0,2.15,2.0,2.0,2.1066000000000034,7,26,84,62
The Matrix One,Lê Quang Đạo,Mễ Trì,Nam Từ Liêm,112.4,6.5,3.0,2.0,6.1236380952380935,11,56,91,406
Sun Grand City,Thụy Khuê,Thụy Khuê,Tây Hồ,98.0,7.2,2.0,2.0,6.460225000000006,16,112,198,370
Vinhomes Metropolis - Liễu Giai,Liễu Giai,Ngọc Khánh,Ba Đình,80.0,7.5,3.0,1.933083511777302,7.181000000000009,0,65,85,473
BRG Diamond Residence,Lê Văn Lương,Nhân Chính,Thanh Xuân,144.0,7.92,3.0,2.0,8.43476666666666,13,71,95,41
Mỹ Đình Pearl,Châu Văn Liêm,Phú Đô,Nam Từ Liêm,73.0,3.7,2.0,2.0,3.493466666666663,11,80,17,275
Golden Palace,Mễ Trì,Mễ Trì,Nam Từ Liêm,117.06,3.92,2.45452528837622,1.933083511777302,3.7870344047619056,11,56,115,140
HC Golden City,Hồng Tiến,Bồ Đề,Long Biên,71.0,2.95,2.0,2.0,2.8859,9,8,67,154
Le Grand Jardin Sài Đồng,Huỳnh Văn Nghệ,Sài Đồng,Long Biên,66.0,2.5,2.0,2.0,2.509183333333332,9,95,52,245
Eco City Việt Hưng,Không có,Giang Biên,Long Biên,70.0,2.05,2.0,2.0,2.046710000000002,9,20,72,108
Green Park Trần Thủ Độ,Trần Thủ Độ,Hoàng Liệt,Hoàng Mai,55.0,1.8,2.0,2.0,1.822350000000001,7,26,219,151
Royal City,Nguyễn Trãi,Thượng Đình,Thanh Xuân,133.8,6.3,3.0,1.933083511777302,6.718,13,107,145,348
Không có,Khâm Thiên,Khâm Thiên,Đống Đa,42.0,0.62,2.0,2.0,0.8535300000000006,19,29,71,221
Không có,Trích Sài,Bưởi,Tây Hồ,55.0,0.6,2.0,2.0,0.6326883333333334,16,5,203,221
Không có,Xuân Đỉnh,Xuân Đỉnh,Bắc Từ Liêm,52.0,0.55,2.0,2.0,0.7897900000000003,1,144,261,221
Không có,Thái Hà,Trung Liệt,Đống Đa,56.0,0.65,2.0,2.0,0.7081899999999993,19,114,191,221
Imperia Smart City,Đại lộ Thăng Long,Tây Mỗ,Nam Từ Liêm,64.0,2.6,2.0,2.0,2.630535588023087,11,126,283,200
